Symbol	Description
M3HX.IDX	3-Month Highs Overall
M3LA.IDX	3-Month Lows AMEX
M3LD.IDX	3-Month Lows Otcbb
M3LE.IDX	3-Month Lows ETFS
M3LH.IDX	3-Month Lows Price GT $10
M3LL.IDX	3-Month Lows Price Lt $10
M3LN.IDX	3-Month Lows NYSE
M3LP.IDX	3-Month Lows Sp500
M3LQ.IDX	3-Month Lows Nasdaq
M3LU.IDX	3-Month Lows Volume Lt 100K
M3LV.IDX	3-Month Lows Volume GT 100K
M3LX.IDX	3-Month Lows Overall
M6HA.IDX	6-Month Highs AMEX
M6HD.IDX	6-Month Highs Otcbb
M6HE.IDX	6-Month Highs ETFS
M6HH.IDX	6-Month Highs Price GT $10
M6HL.IDX	6-Month Highs Price Lt $10
M6HN.IDX	6-Month Highs NYSE
M6HP.IDX	6-Month Highs Sp500
M6HQ.IDX	6-Month Highs Nasdaq
M6HU.IDX	6-Month Highs Volume Lt 100K
M6HV.IDX	6-Month Highs Volume GT 100K
M6HX.IDX	6-Month Highs Overall
M6LA.IDX	6-Month Lows AMEX
M6LD.IDX	6-Month Lows Otcbb
M6LE.IDX	6-Month Lows ETFS
M6LH.IDX	6-Month Lows Price GT $10
M6LL.IDX	6-Month Lows Price Lt $10
M6LN.IDX	6-Month Lows NYSE
M6LP.IDX	6-Month Lows Sp500
M6LQ.IDX	6-Month Lows Nasdaq
M6LU.IDX	6-Month Lows Volume Lt 100K
M6LV.IDX	6-Month Lows Volume GT 100K
M6LX.IDX	6-Month Lows Overall
MAHA.IDX	12-Month Highs AMEX
MAHD.IDX	12-Month Highs Otcbb
MAHE.IDX	12-Month Highs ETFS
MAHH.IDX	12-Month Highs Price GT $10
MAHL.IDX	12-Month Highs Price Lt $10
MAHN.IDX	12-Month Highs NYSE
MAHP.IDX	12-Month Highs Sp500
MAHQ.IDX	12-Month Highs Nasdaq
MAHU.IDX	12-Month Highs Volume Lt 100K
MAHV.IDX	12-Month Highs Volume GT 100K
MAHX.IDX	12-Month Highs Overall
MALA.IDX	12-Month Lows AMEX
MALD.IDX	12-Month Lows Otcbb
MALE.IDX	12-Month Lows ETFS
MALH.IDX	12-Month Lows Price GT $10
MALL.IDX	12-Month Lows Price Lt $10
MALN.IDX	12-Month Lows NYSE
MALP.IDX	12-Month Lows Sp500
MALQ.IDX	12-Month Lows Nasdaq
MALU.IDX	12-Month Lows Volume Lt 100K
MALV.IDX	12-Month Lows Volume GT 100K
MALX.IDX	12-Month Lows Overall
MBO.IDX	CHINESE MPS BSKT
MDO.IDX	Mid Opn/Cls Avge
MERV.IDX	Merval - Argentina
MEV.IDX	AMEX Mexico Index Settlement
MFX.IDX	KBW Mortgage Finance Index
MGD.IDX	Midcp 400Barra
MIA.IDX	Mid O/C/H/L Avg
MID.IDX	Midcap 400 Idx
MIH.IDX	Mid Hi/Lo Avge
MIV.IDX	Mid-Cap Settle
MIXR.IDX	S&P C.S. Fl-Miami Home Price Index
MLO.IDX	AMEX Merrill Lynch Tech 100
MMFI.IDX	Percent of Stocks Above 50-Day Average
MMOF.IDX	Percent of Stocks Above 150-Day Average
