Date,WRMFNS
1996-02-19,447700000000.00
1996-02-26,456900000000.00
1996-03-04,457000000000.00
1996-03-11,460100000000.00
1996-03-18,463400000000.00
1996-03-25,464700000000.00
1996-04-01,462300000000.00
1996-04-08,465600000000.00
1996-04-15,470200000000.00
1996-04-22,464100000000.00
1996-04-29,456200000000.00
1996-05-06,454600000000.00
1996-05-13,461200000000.00
1996-05-20,456900000000.00
1996-05-27,456800000000.00
1996-06-03,461400000000.00
1996-06-10,464900000000.00
1996-06-17,468100000000.00
1996-06-24,466800000000.00
1996-07-01,463900000000.00
1996-07-08,467600000000.00
1996-07-15,472100000000.00
1996-07-22,476600000000.00
1996-07-29,475700000000.00
1996-08-05,475100000000.00
1996-08-12,478100000000.00
1996-08-19,479500000000.00
1996-08-26,481000000000.00
1996-09-02,477900000000.00
1996-09-09,479100000000.00
1996-09-16,478700000000.00
1996-09-23,477300000000.00
1996-09-30,478300000000.00
1996-10-07,480900000000.00
1996-10-14,486700000000.00
1996-10-21,487500000000.00
1996-10-28,490800000000.00
1996-11-04,489900000000.00
1996-11-11,494500000000.00
1996-11-18,493900000000.00
1996-11-25,499200000000.00
1996-12-02,497100000000.00
1996-12-09,506800000000.00
1996-12-16,508500000000.00
1996-12-23,510400000000.00
1996-12-30,506200000000.00
1997-01-06,501500000000.00
1997-01-13,516000000000.00
1997-01-20,515700000000.00
1997-01-27,515800000000.00
1997-02-03,518100000000.00
1997-02-10,520600000000.00
1997-02-17,521100000000.00
1997-02-24,520500000000.00
1997-03-03,525100000000.00
1997-03-10,530700000000.00
1997-03-17,531500000000.00
1997-03-24,534000000000.00
1997-03-31,535900000000.00
1997-04-07,542100000000.00
1997-04-14,547400000000.00
1997-04-21,543400000000.00
1997-04-28,534800000000.00
1997-05-05,521800000000.00
1997-05-12,524500000000.00
1997-05-19,525300000000.00
1997-05-26,529500000000.00
1997-06-02,527600000000.00
1997-06-09,533200000000.00
1997-06-16,531300000000.00
1997-06-23,530900000000.00
1997-06-30,530500000000.00
1997-07-07,535900000000.00
1997-07-14,540800000000.00
1997-07-21,541200000000.00
1997-07-28,542700000000.00
1997-08-04,545400000000.00
1997-08-11,555100000000.00
1997-08-18,561100000000.00
1997-08-25,564300000000.00
1997-09-01,567400000000.00
1997-09-08,565700000000.00
1997-09-15,567700000000.00
1997-09-22,564500000000.00
1997-09-29,562300000000.00
1997-10-06,560800000000.00
1997-10-13,567600000000.00
1997-10-20,570100000000.00
1997-10-27,570300000000.00
1997-11-03,570500000000.00
1997-11-10,573100000000.00
1997-11-17,574800000000.00
1997-11-24,582600000000.00
1997-12-01,579400000000.00
1997-12-08,585300000000.00
1997-12-15,583800000000.00
1997-12-22,581000000000.00
1997-12-29,579600000000.00
1998-01-05,573800000000.00
1998-01-12,593200000000.00
1998-01-19,595700000000.00
1998-01-26,596200000000.00
1998-02-02,596700000000.00
1998-02-09,602700000000.00
1998-02-16,605800000000.00
1998-02-23,612600000000.00
1998-03-02,615400000000.00
1998-03-09,623200000000.00
1998-03-16,624400000000.00
1998-03-23,626200000000.00
1998-03-30,626700000000.00
1998-04-06,629600000000.00
1998-04-13,640400000000.00
1998-04-20,633500000000.00
1998-04-27,627500000000.00
1998-05-04,618500000000.00
1998-05-11,622300000000.00
1998-05-18,621600000000.00
1998-05-25,627900000000.00
1998-06-01,630600000000.00
1998-06-08,635600000000.00
1998-06-15,634600000000.00
1998-06-22,634800000000.00
1998-06-29,632500000000.00
1998-07-06,630700000000.00
1998-07-13,638700000000.00
1998-07-20,637300000000.00
1998-07-27,640900000000.00
1998-08-03,641000000000.00
1998-08-10,651900000000.00
1998-08-17,655700000000.00
1998-08-24,662500000000.00
1998-08-31,666200000000.00
1998-09-07,673400000000.00
1998-09-14,680100000000.00
1998-09-21,680300000000.00
1998-09-28,673600000000.00
1998-10-05,671800000000.00
1998-10-12,685000000000.00
1998-10-19,692600000000.00
1998-10-26,698100000000.00
1998-11-02,698200000000.00
1998-11-09,700500000000.00
1998-11-16,700400000000.00
1998-11-23,704600000000.00
1998-11-30,703300000000.00
1998-12-07,710700000000.00
1998-12-14,716900000000.00
1998-12-21,718400000000.00
1998-12-28,717200000000.00
1999-01-04,711000000000.00
1999-01-11,722800000000.00
1999-01-18,736200000000.00
1999-01-25,736800000000.00
1999-02-01,737500000000.00
1999-02-08,744900000000.00
1999-02-15,747700000000.00
1999-02-22,751200000000.00
