Date,B069RC1
2013-12-01,244400000000.00
2014-01-01,246700000000.00
2014-02-01,249500000000.00
2014-03-01,251200000000.00
2014-04-01,251400000000.00
2014-05-01,250500000000.00
2014-06-01,248500000000.00
2014-07-01,249600000000.00
2014-08-01,252500000000.00
2014-09-01,257600000000.00
2014-10-01,260300000000.00
2014-11-01,262500000000.00
2014-12-01,264100000000.00
2015-01-01,263900000000.00
2015-02-01,262600000000.00
2015-03-01,260200000000.00
2015-04-01,262900000000.00
2015-05-01,267100000000.00
2015-06-01,272700000000.00
2015-07-01,272900000000.00
2015-08-01,271700000000.00
2015-09-01,268900000000.00
2015-10-01,270700000000.00
2015-11-01,273500000000.00
2015-12-01,277500000000.00
2016-01-01,276100000000.00
2016-02-01,273700000000.00
2016-03-01,270300000000.00
2016-04-01,272900000000.00
2016-05-01,276100000000.00
2016-06-01,279900000000.00
2016-07-01,280000000000.00
2016-08-01,279500000000.00
2016-09-01,278400000000.00
2016-10-01,281200000000.00
2016-11-01,284300000000.00
2016-12-01,287800000000.00
2017-01-01,287600000000.00
2017-02-01,287400000000.00
2017-03-01,287200000000.00
2017-04-01,293900000000.00
2017-05-01,300700000000.00
2017-06-01,307400000000.00
2017-07-01,304400000000.00
2017-08-01,301300000000.00
2017-09-01,298200000000.00
2017-10-01,305500000000.00
2017-11-01,312700000000.00
2017-12-01,319900000000.00
2018-01-01,320600000000.00
2018-02-01,321400000000.00
2018-03-01,322100000000.00
2018-04-01,323400000000.00
2018-05-01,324600000000.00
