MMT       	METROPOLE TV                                      	PAR       
MND       	                                                  	PAR       
MONT      	                                                  	PAR       
MRB       	MR BRICOLAGE                                      	PAR       
MRK       	MERCK AND CO INC                                  	PAR       
MRM       	M.R.M                                             	PAR       
MRN       	MERSEN                                            	PAR       
MT        	                                                  	PAR       
MTU       	MANITOU BF                                        	PAR       
MUN       	MICROPOLE                                         	PAR       
NANO      	                                                  	PAR       
NEO       	NEOPOST                                           	PAR       
NEX       	NEXANS                                            	PAR       
NK        	IMERYS                                            	PAR       
NRG       	NRJ GROUP                                         	PAR       
NRO       	NEURONES                                          	PAR       
NRX       	NATUREX                                           	PAR       
NSGP      	                                                  	PAR       
NTG       	NETGEM                                            	PAR       
NUM       	                                                  	PAR       
NXI       	NEXITY                                            	PAR       
ODET      	FINANCIERE ODET                                   	PAR       
OLG       	OL GROUPE                                         	PAR       
ONXEO     	                                                  	PAR       
OPN       	GROUPE OPEN                                       	PAR       
OR        	L'OREAL                                           	PAR       
ORA       	Orange                                            	PAR       
ORAP      	ORAPI                                             	PAR       
OREGE     	                                                  	PAR       
ORIA      	                                                  	PAR       
ORP       	ORPEA                                             	PAR       
OSI       	AUSY                                              	PAR       
OXI       	OXIS INTL                                         	PAR       
PAR       	PAREF                                             	PAR       
PARP      	GROUPE PARTOUCHE                                  	PAR       
PARRO     	PARROT                                            	PAR       
PAT       	                                                  	PAR       
PCA       	PCAS                                              	PAR       
PERR      	PERRIER (GERARD)                                  	PAR       
PGP       	PROCTER GAMBLE                                    	PAR       
PHA       	PHARMAGEST INTER.                                 	PAR       
PIG       	HAULOTTE GROUP                                    	PAR       
PIX       	                                                  	PAR       
PM        	                                                  	PAR       
POM       	PLASTIC OMNIUM                                    	PAR       
PRC       	ARTPRICE COM                                      	PAR       
PREC      	PRECIA                                            	PAR       
PROL      	PROLOGUE                                          	PAR       
PSAT      	PASSAT                                            	PAR       
PSB       	PSB INDUSTRIES                                    	PAR       
PUB       	PUBLICIS GROUPE SA                                	PAR       
PUBBS     	                                                  	PAR       
PVL       	PLAST.VAL LOIRE                                   	PAR       
QUA       	QUANTEL                                           	PAR       
RAL       	RALLYE                                            	PAR       
RBT       	ROBERTET                                          	PAR       
RCF       	TELEPERFORMANCE                                   	PAR       
RCO       	REMY COINTREAU                                    	PAR       
RE        	COLAS                                             	PAR       
RF        	EURAZEO                                           	PAR       
RI        	PERNOD RICARD                                     	PAR       
RIB       	RIBER                                             	PAR       
RIN       	                                                  	PAR       
RLL       	RADIALL                                           	PAR       
RMS       	HERMES INTL                                       	PAR       
RNO       	RENAULT                                           	PAR       
ROBP      	ROBECO                                            	PAR       
ROLP      	ROLINCO                                           	PAR       
RORP      	                                                  	PAR       
ROSA      	                                                  	PAR       
RUI       	RUBIS                                             	PAR       
RUSAL     	GDS (S) RUSAL                                     	PAR       
RX        	RECYLEX S.A.                                      	PAR       
RXL       	REXEL                                             	PAR       
SABE      	                                                  	PAR       
SACI      	FIDUCIAL OFF.SOL.                                 	PAR       
SAF       	SAFRAN                                            	PAR       
SAFT      	SAFT                                              	PAR       
SAMS      	SAMSE                                             	PAR       
SAN       	SANOFI                                            	PAR       
SBT       	OENEO                                             	PAR       
SCHP      	SECHE ENVIRONNEM.                                 	PAR       
SCR       	SCOR SE                                           	PAR       
SDG       	SYNERGIE                                          	PAR       
SDT       	VISIODENT                                         	PAR       
SEC       	SODITECH ING.                                     	PAR       
SEFER     	                                                  	PAR       
SELER     	SELECTIRENTE                                      	PAR       
SEQ       	SEQUANA                                           	PAR       
SESG      	SES                                               	PAR       
SESL      	STORE ELECTRONICS                                 	PAR       
SEV       	SUEZ ENVIRONNEMENT                                	PAR       
SFCA      	SOC FRANC CASINOS                                 	PAR       
SFT       	SOFT COMPUTING                                    	PAR       
SGO       	SAINT GOBAIN                                      	PAR       
SII       	SII                                               	PAR       
SIPH      	INTLE PLANT.HEVEAS                                	PAR       
SK        	S.E.B.                                            	PAR       
SLB       	SCHLUMBERGER                                      	PAR       
SMTPC     	SMTPC                                             	PAR       
SO        	SOMFY SA                                          	PAR       
SOA       	                                                  	PAR       
SOFR      	                                                  	PAR       
SOG       	SOGECLAIR                                         	PAR       
SOI       	SOITEC                                            	PAR       
SOLB      	                                                  	PAR       
SOP       	SOPRA GROUP                                       	PAR       
SPEL      	FONCIERE VOLTA                                    	PAR       
SPI       	SPIR COMMUNICATION                                	PAR       
SQI       	SQLI                                              	PAR       
SQIBS     	                                                  	PAR       
SSI       	                                                  	PAR       
STAL      	                                                  	PAR       
STF       	STEF TFE                                          	PAR       
STM       	STMICROELECTRONICS                                	PAR       
STNT      	STENTYS                                           	PAR       
SU        	SCHNEIDER ELECTRIC                                	PAR       
SW        	SODEXO                                            	PAR       
SWP       	SWORD GROUP                                       	PAR       
SX        	CS (COMM.SYSTEMES)                                	PAR       
SY        	SALVEPAR                                          	PAR       
TAM       	ETAM DEVELOPPEMENT                                	PAR       
TCH       	TECHNICOLOR                                       	PAR       
TEC       	TECHNIP                                           	PAR       
TER       	TERREIS                                           	PAR       
TES       	TESSI                                             	PAR       
TFF       	TONN.FRANCOIS FRES                                	PAR       
TFI       	TF1                                               	PAR       
THEP      	THERMADOR GROUPE                                  	PAR       
THER      	THERMOCOMPACT                                     	PAR       
TIPI      	TIPIAK                                            	PAR       
TKTT      	                                                  	PAR       
TNFN      	                                                  	PAR       
TNG       	TRANSGENE                                         	PAR       
TONN      	TONNA ELECTRONIQUE                                	PAR       
TOU       	TOUPARGEL GROUPE                                  	PAR       
TOUP      	TOUAX                                             	PAR       
TRI       	TRIGANO                                           	PAR       
TVLY      	TIVOLY                                            	PAR       
TXCL      	                                                  	PAR       
UBI       	UBISOFT ENTERTAIN                                 	PAR       
UDIS      	U10                                               	PAR       
UFF       	UNION FIN.FRANCE                                  	PAR       
UG        	PEUGEOT                                           	PAR       
UGBS      	                                                  	PAR       
UL        	UNIBAIL-RODAMCO                                   	PAR       
ULDV      	ULRIC DE VARENS                                   	PAR       
VAC       	PIERRE VACANCES                                   	PAR       
VALE3     	VALE                                              	PAR       
VCT       	VICAT                                             	PAR       
VDLO      	                                                  	PAR       
VET       	VET AFFAIRES                                      	PAR       
VETO      	VETOQUINOL                                        	PAR       
VIAD      	                                                  	PAR       
VIE       	VEOLIA ENVIRON.                                   	PAR       
VIL       	VIEL ET COMPAGNIE                                 	PAR       
VIRP      	VIRBAC                                            	PAR       
VIV       	VIVENDI                                           	PAR       
VK        	VALLOUREC                                         	PAR       
VLA       	                                                  	PAR       
VLAP      	                                                  	PAR       
VLTSA     	                                                  	PAR       
VRAP      	VRANKEN-POMMERY                                   	PAR       
WLN       	                                                  	PAR       
XIL       	XILAM ANIMATION                                   	PAR       
ZC        	ZODIAC AEROSPACE                                  	PAR       
ZIF       	ZUBLIN IMMOBILIERE                                	PAR       
