3UIS	Nx09100w 190601
BGDW	Capitaland Mb Ecw160902
BGGW	Hsi 21600 Vt Epw151029
BGHW	Hsi 20000 Vt Epw151127
BGIW	Hsi 24000 Mb Ecw151230
BGJW	Hsi 20000 Mb Epw151230
BGK	Swiber Holdings Limited
BGLW	Ftsechinaa50 12000 Mbecw160226
BGMW	Ftsechinaa50 8500 Mbepw160226
BGNW	Hsi 21600 Mb Epw151029
BGO	Universal Resource & Svcs Ltd
BGPW	Uob Vt Ecw160201
BGQW	Ocbc Bk Vt Ecw160201
BGRW	Dbs Vt Ecw160201
BGSW	Hsi 20800 Mb Ecw151029
BGTW	Hsi 21400 Mb Ecw151127
BGUW	Hsi 19000 Mb Epw151127
BGVW	Hsi 18000 Mb Epw151127
BGWW	Dbs Mb Epw160215
BGXW	Wilmar Mb Ecw160301
BGYW	Wilmar Mb Epw160301
BGZW	Globallogisticpropmbecw160401
BHAW	Globallogisticpropmbepw160401
BHBW	Hsi 18600 Mb Epw151029
BHCW	Uob Mb Epw160215
BHD	China Mining International Ltd
BHIW	Hsi 20000 Ub Epw160330
BHJW	Hscei 10800 Ub Ecw160330
BHK	Siic Environment Holdings Ltd.
BHL	Siic Environment Holdingsltd.1
BHO	Top Global Limited
BHP	Top Global Limited 1
BHQ	Sunningdale Tech Ltd
BHRR	Croesus Retail Trust R
BHSR	Croesus Retail Trust R1
BHTW	Dbs Mb Ecw160128
BHU	Sutl Enterprise Limited
BHVR	Blumont Group Ltd. R
BHZW	Nikkei225 19000 Mb Ecw160311
BIDW	Nikkei225 18500 Mb Epw160311
BIGW	Hsi 21000 Mb Epw151127
BIHW	Hsi 22400 Mb Ecw151127
BIIW	Singtel Mb Ecw160504
BIJW	Ocbc Bk Mb Ecw160406
BIKW	Hsi 23400 Mb Ecw151127
BILW	Singtel Mb Epw160504
BIMW	Ocbc Bk Mb Epw160510
BINW	Hsi 22000 Mb Epw151127
BIOZ	Perennial S$300m4.65%n181023
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BIZW	Ftsechinaa50 9500 Mbepw160128
BJAW	Hsi 24600 Mb Ecw151230
BJBW	Hsi  22400 Mb Epw151230
BJCW	Hsi 23800 Mb Ecw151230
BJD	Vibropower Corporation Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BR9	China Hongxing Sports Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
C03	China Merchants Prop Devtcoltd
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C0Z	China Hongcheng Holdings Ltd
C10	Chosen Holdings Limited
C13	Ch Offshore Ltd
C14	Cwt Limited
C22	China Merchants Hldgs(pacific)
c29	Chip Eng Seng Corporation Ltd
C2J	Sunmart Holdings Limited
C2PU	Parkwaylife Reit
C31	Capitaland Limited
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C4P	Liang Huat Aluminium Ltd
C50	Cheung Woh Technologies Ltd
C52	Comfortdelgro Corporation Ltd
C56	Celestial Nutrifoods Limited
C61U	Capitacommercial Trust
C6L	Singapore Airlines Ltd
C70	City Developments Ltd Nccps
C71	China Paper Holdings Limited
C76	Creative Technology Ltd
C86	China Sun Biochem Tech Gp Co.
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CH8	China Sunsine Chem Hldgs Ltd.
CT1	Avi-tech Electronics Limited
CW4	Lyxor Japan (topix) Fund 10
CX5	Yong Xin Intl Holdings Ltd.
CY6U	Ascendas India Trust
CZ3	Reyphon Agriceutical Limited
CZ4	Dutech Holdings Limited
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D04	Datapulse Technology Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D11	Design Studio Furniture Mfrltd
D1R	Ara Asset Management Limited
D2U	Cacola Furniture Intl Limited
D38	Cdw Holding Limited
D3W	Sinotel Technologies Ltd.
D4N	China New Town Devt Co Limited
D50	China Great Land Holdings Ltd.
D5IU	Lippo Malls Indo Retail Trust
D5N	Z-obee Holdings Limited
D6U	Dynamic Colours Limited
D79	C&g Env Protect Hldgs Ltd
D8DU	First Ship Lease Trust
DK2	Fibrechem Technologies Ncps
DM0	Psc Corporation Ltd
DU4	Mermaid Maritime Public Co Ltd
E02	Eu Yan Sang International Ltd
E13	Ellipsiz Ltd
E16	Elec & Eltek Int Co Ltd
E23	Europtronic Group Ltd
E27	Eucon Holding Limited
E28	Frencken Group Limited
