AMKBY     	A.P. Moeller-Maersk A/S                           	OTCBB     
AMLH      	American Leisure Hld                              	OTCBB     
AMLLF     	Aeon Mall Co Ltd                                  	OTCBB     
AMLM      	American Lithium Min                              	OTCBB     
AMLTF     	Amp Ltd                                           	OTCBB     
AMLYY     	Amp                                               	OTCBB     
AMLZF     	African Minerals Ltd                              	OTCBB     
AMMCF     	Amur Minerals Corp                                	OTCBB     
AMMJ      	American Cannabis Company Inc                     	OTCBB     
AMMX      	Ameramex Intl Inc                                 	OTCBB     
AMNE      	American Green Group Inc                          	OTCBB     
AMNF      	Armanino Foods New                                	OTCBB     
AMNL      	Applied Minerals Inc                              	OTCBB     
AMNP      	American Sierra Gold                              	OTCBB     
AMNZF     	Ambrian Plc                                       	OTCBB     
AMPG      	Amplitech Group                                   	OTCBB     
AMPLQ     	Ampal-American Israel Corp                        	OTCBB     
AMPY      	Amplify Energy Corp                               	OTCBB     
AMRH      	Ameri Holdings Inc                                	OTCBB     
AMRR      	American Metals Recovery & Recycling Inc          	OTCBB     
AMRT      	Amer Mart Corp                                    	OTCBB     
AMRZF     	Arena Minerals Inc.                               	OTCBB     
AMSIY     	Arcelormittal ADR                                 	OTCBB     
AMSYF     	Arcelormittal Sa New                              	OTCBB     
AMTA      	Amistar Cp                                        	OTCBB     
AMTCQ     	Ameritrans Capital Corp                           	OTCBB     
AMTPQ     	Ameritrans Capital Corp                           	OTCBB     
AMTY      	Amerityre Corp                                    	OTCBB     
AMVGF     	Amvig Hldgs Ltd                                   	OTCBB     
AMVMF     	Amg Advanced Metal                                	OTCBB     
AMXEF     	AMEX Exploration                                  	OTCBB     
AMXVF     	America Movil S.A.B. De C.V.                      	OTCBB     
AMYZF     	American Manganese Inc                            	OTCBB     
ANAS      	Alternaturals Inc                                 	OTCBB     
ANAV      	Alpha Network                                     	OTCBB     
ANCE      	Restance Inc.                                     	OTCBB     
ANCKF     	Minara Resources Ltd                              	OTCBB     
ANCTF     	Alimentat Cou Mulvtg                              	OTCBB     
ANCUF     	Alimentation Couche-Tard Inc                      	OTCBB     
ANDC      	Andover Bancorp Inc. [Oh]                         	OTCBB     
ANDD      	Anr Inc Contingent Rev Pmt Rt 03/31/2023          	OTCBB     
ANDGF     	Aeon Delight Co. Ltd                              	OTCBB     
ANDI      	Andiamo Corp                                      	OTCBB     
ANDR      	Andritz Ag                                        	OTCBB     
ANEWF     	Australia & N Z Bkg                               	OTCBB     
ANFC      	Ante5 Inc                                         	OTCBB     
ANFGF     	Antofagasta Plc Ord                               	OTCBB     
ANGCF     	Angel Gold Corp                                   	OTCBB     
ANGGY     	Angang Stl Spadr                                  	OTCBB     
ANGPY     	Anglo American Platinum Ltd                       	OTCBB     
ANGUF     	Anglo-Canadian Mining Corp                        	OTCBB     
ANIOY     	Acerinox Sa ADR                                   	OTCBB     
ANKOF     	Ankor Gold                                        	OTCBB     
ANLBF     	Alexander Nubia Intl                              	OTCBB     
ANLDF     	Anfield Resources                                 	OTCBB     
ANLKY     	Alkane Res Ltd                                    	OTCBB     
ANMP      	Anacomp Inc [New]                                 	OTCBB     
ANNNC     	Anr Inc. Cl C-1                                   	OTCBB     
ANNNP     	Anr Inc Pfd Ser A                                 	OTCBB     
ANNSF     	Aena S.A.                                         	OTCBB     
ANPCY     	Angle Plc                                         	OTCBB     
ANPDF     	Anta Sports Prod Ltd                              	OTCBB     
ANPDY     	Anta Sports Prod ADR                              	OTCBB     
