14D       	1414 Degrees Limited                              	ASX       
EVO       	Evolve Education Group Limited                    	ASX       
EVS       	Envirosuite Limited                               	ASX       
EVT       	Event Hospitality And Entertainment Ltd           	ASX       
EVZ       	Envirozel Ltd                                     	ASX       
EWC       	Energy World Corporation Ltd                      	ASX       
EX1       	Exopharm Limited                                  	ASX       
EX20      	EX20                                              	ASX       
EXL       	Excel Coal Ltd                                    	ASX       
EXO       	Ennox Group Ltd                                   	ASX       
EXP       	Experience Co Limited                             	ASX       
EXR       	Elixir Petroleum Ltd                              	ASX       
EXU       	Explaurum Limited                                 	ASX       
EZL       	Euroz Ltd                                         	ASX       
FAIR      	FAIR                                              	ASX       
FAR       	First Australian Resources Ltd                    	ASX       
FAU       	First Au Limited                                  	ASX       
FAUO      	First Au Limited                                  	ASX       
FBR       	Fastbrick Robotics Ltd                            	ASX       
FBU       	Fletcher Building Ltd                             	ASX       
FBUKOA    	Fletcher Building Limited                         	ASX       
FBUKOP    	Fletcher Building Limited                         	ASX       
FBUKOQ    	Fletcher Building Limited                         	ASX       
FCC       	First Cobalt Corp.                                	ASX       
FCG       	Frontier Capital Group Limited                    	ASX       
FCT       	Firstwave Cloud Technology Limited                	ASX       
FDM       	Freedom Oil And Gas Ltd                           	ASX       
FDV       	Frontier Digital Ventures Limited                 	ASX       
FDX       	Frontier Diamonds Ltd                             	ASX       
FE8       	Faster Enterprises Ltd                            	ASX       
FEI       	Fe Investments Group Limited                      	ASX       
FEL       	Fe Limited                                        	ASX       
FEX       	Fenix Resources Ltd                               	ASX       
FFC       	Farmaforce Limited                                	ASX       
FFG       	Fatfish Internet Group Ltd                        	ASX       
FFI       	FFI Holdings Ltd                                  	ASX       
FGF       	First Growth Funds Limited                        	ASX       
FGG       	Future Generation Global Investment Company Limited	ASX       
FGO       	Flamingo Ai Limited                               	ASX       
FGR       	First Graphite Limited                            	ASX       
FGROC     	First Graphite Limited                            	ASX       
FGX       	Future Generation Investment Fund Limited         	ASX       
FHS       	Freehill Mining Limited.                          	ASX       
