E3X9570   	FTSE Efst300 Technology                           	LSE       
E4500     	FTSE Eurofirst Health CA                          	LSE       
E5300     	FTSE Eurofirst Retail                             	LSE       
E5500     	FTSE Eurofirst Media                              	LSE       
E5700     	FTSE Eurofirst Travel &                           	LSE       
E6500     	FTSE Eurofirst Telecommu                          	LSE       
E7500     	FTSE Eurofirst Utilities                          	LSE       
E8300     	FTSE Eurofirst Banks                              	LSE       
E8500     	FTSE Eurofirst Insurance                          	LSE       
E8600     	FTSE Eurofirst Supersect                          	LSE       
E8700     	FTSE Eurofirst Financial                          	LSE       
E9500     	FTSE Eurofirst Technolog                          	LSE       
EAH       	Eco Animal Health Group Plc                       	LSE       
EAS       	Energy Assets Group Plc                           	LSE       
EAT       	European Assets Trust Nv                          	LSE       
EB0500    	FTSE Eurofirst Euro Oil                           	LSE       
EB1300    	FTSE Eurofirst Euro Chem                          	LSE       
EB16      	European Investment Bank                          	LSE       
EB1700    	FTSE Eurofirst Euro Basi                          	LSE       
EB1X      	FTSE Euro 100                                     	LSE       
EB2300    	FTSE Eurofirst Euro Cons                          	LSE       
EB2700    	FTSE Eurofirst Euro Indu                          	LSE       
EB3300    	FTSE Eurofirst Euro Auto                          	LSE       
EB3500    	FTSE Eurofirst Euro Food                          	LSE       
EB3700    	FTSE Eurofirst Euro Pers                          	LSE       
EB4500    	FTSE Eurofirst Euro Heal                          	LSE       
EB5300    	FTSE Eurofirst Euro Reta                          	LSE       
EB5500    	FTSE Eurofirst Euro Medi                          	LSE       
EB5700    	FTSE Eurofirst Euro Trav                          	LSE       
EB6500    	FTSE Eurofirst Euro Tele                          	LSE       
EB7500    	FTSE Eurofirst Euro Util                          	LSE       
EB8300    	FTSE Eurofirst Euro Bank                          	LSE       
EB8500    	FTSE Eurofirst Euro Insu                          	LSE       
EB8600    	FTSE Eurofirst Eurozone                           	LSE       
EB8700    	FTSE Eurofirst Euro Fina                          	LSE       
EB9500    	FTSE Eurofirst Euro Tech                          	LSE       
EBGOV01   	FTSE All Eurozone Govern                          	LSE       
EBGOV03   	FTSE All Eurozone Govern                          	LSE       
EBGOV05   	FTSE All Eurozone Govern                          	LSE       
EBGOV07   	FTSE All Eurozone Govern                          	LSE       
EBGOV10   	FTSE All Eurozone Govern                          	LSE       
EBGOV30   	FTSE All Eurozone Govern                          	LSE       
EBQ       	Ebiquity Plc                                      	LSE       
ECEL      	Eurocell Plc                                      	LSE       
ECK       	Eckoh Plc                                         	LSE       
ECM       	Electrocomponents Plc                             	LSE       
ECR       	Ecr Minerals Plc                                  	LSE       
ECWL      	Ecofin Water & Power Opportunities Plc            	LSE       
ECWO      	Ecofin Water & Power Opportunities Plc            	LSE       
ECWZ      	EW&Po Finance Plc                                 	LSE       
EDEN      	Eden Research Plc                                 	LSE       
EDGE      	Edge Performance Vct Plc                          	LSE       
EDGH      	Edge Performance Vct Plc                          	LSE       
EDHAPAC   	FTSE Edhec Risk Asia/Pacific                      	LSE       
EDHAPXJ   	FTSE Edhec Risk Asia/Pacific Ex JP                	LSE       
EDHAW     	FTSE Edhec Risk All World                         	LSE       
EDHAWXUK  	FTSE Edhec Risk All Ex UK                         	LSE       
EDHAWXUS  	FTSE Edhec Risk All Ex US                         	LSE       
